ID,PROJECT,FILE,START,END,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,is_god_class
C-000136,Atom,src/command-registry.js,436,458,23,23,5,5,3,3,5,1.6666666666666667,1.6666666666666667,0,0.375,0
C-000138,Atom,src/config.js,383,1424,1042,1042,178,178,50,50,0,3.56,3.56,0,1.0,1
C-000139,Atom,src/default-directory-searcher.js,5,46,42,42,3,3,3,3,2,1.0,1.0,0,0.6,0
C-000140,Atom,src/dock.js,758,799,42,42,10,10,6,6,1,1.6666666666666667,1.6666666666666667,0,0.8571428571428571,0
C-000141,Atom,src/dock.js,801,849,49,49,7,7,6,6,1,1.1666666666666667,1.1666666666666667,0,0.8571428571428571,0
C-000142,Atom,src/dock.js,853,861,9,9,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000144,Atom,src/history-manager.js,8,120,113,113,20,20,11,11,4,1.818181818181818,1.818181818181818,0,0.7333333333333333,0
C-000146,Atom,src/main-process/atom-application.js,2079,2115,37,37,8,8,6,6,6,1.3333333333333333,1.3333333333333333,0,0.5,0
C-000150,Atom,src/module-cache.js,6,25,20,20,5,5,2,2,2,2.5,2.5,0,0.5,0
C-000151,Atom,src/native-compile-cache.js,13,127,115,115,11,11,10,10,2,1.1,1.1,0,0.8333333333333334,0
C-000152,Atom,src/native-watcher-registry.js,20,97,78,78,4,4,4,4,3,1.0,1.0,0,0.5714285714285714,0
C-000154,Atom,src/native-watcher-registry.js,215,329,115,115,15,15,9,9,3,1.6666666666666667,1.6666666666666667,0,0.75,0
C-000156,Atom,src/native-watcher-registry.js,355,377,23,23,2,2,2,2,2,1.0,1.0,0,0.5,0
C-000157,Atom,src/native-watcher-registry.js,381,399,19,19,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000158,Atom,src/native-watcher-registry.js,408,445,38,38,3,3,3,3,1,1.0,1.0,0,0.75,0
C-000161,Atom,src/pane-axis-element.js,4,116,113,113,26,26,10,10,0,2.6,2.6,0,1.0,0
C-000165,Atom,src/pane-resize-handle-element.js,1,107,107,107,22,22,11,11,2,2.0,2.0,0,0.8461538461538461,0
C-000167,Atom,src/panel-container-element.js,6,113,108,108,17,17,7,7,1,2.4285714285714284,2.4285714285714284,0,0.875,0
C-000171,Atom,src/path-watcher.js,369,591,223,223,23,23,9,9,13,2.555555555555556,2.555555555555556,0,0.4090909090909091,0
C-000172,Atom,src/path-watcher.js,595,747,153,153,23,23,9,9,4,2.555555555555556,2.555555555555556,0,0.6923076923076923,0
C-000173,Atom,src/styles-element.js,3,141,139,136,28,27,14,13,4,2.0,2.076923076923077,1,0.7222222222222222,0
C-000175,Atom,src/text-editor-component.js,3506,3649,144,144,13,13,5,5,1,2.6,2.6,0,0.8333333333333334,0
C-000178,Atom,src/text-editor-component.js,3980,4033,54,54,8,8,5,5,3,1.6,1.6,0,0.625,0
C-000179,Atom,src/text-editor-component.js,4035,4072,38,38,12,12,2,2,2,6.0,6.0,0,0.5,0
C-000180,Atom,src/text-editor-component.js,4074,4210,137,137,12,12,6,6,1,2.0,2.0,0,0.8571428571428571,0
C-000181,Atom,src/text-editor-component.js,4212,4561,350,350,50,50,9,9,1,5.555555555555555,5.555555555555555,0,0.9,1
C-000182,Atom,src/text-editor-component.js,4563,4727,165,165,26,26,6,6,3,4.333333333333333,4.333333333333333,0,0.6666666666666666,0
C-000183,Atom,src/text-editor-component.js,4729,4834,106,106,27,27,4,4,3,6.75,6.75,0,0.5714285714285714,0
C-000184,Atom,src/text-editor-component.js,4836,4959,124,124,13,13,5,5,1,2.6,2.6,0,0.8333333333333334,0
C-000186,Atom,src/text-editor-component.js,5123,5195,73,73,21,21,4,4,2,5.25,5.25,0,0.6666666666666666,0
C-000187,Atom,src/text-editor-element.js,6,364,359,338,70,67,57,54,3,1.2280701754385963,1.2407407407407407,3,0.9,1
C-000188,Atom,src/text-editor.js,5838,5855,18,9,4,1,4,1,2,1.0,1.0,3,0.1666666666666666,0
C-000189,Atom,src/text-mate-language-mode.js,20,863,844,844,179,179,57,57,12,3.1403508771929824,3.1403508771929824,0,0.8260869565217391,1
C-000190,Atom,src/text-mate-language-mode.js,867,1011,145,145,29,29,8,8,3,3.625,3.625,0,0.7272727272727273,0
C-000191,Atom,src/tree-sitter-language-mode.js,17,649,633,630,121,120,38,37,14,3.1842105263157894,3.2432432432432434,1,0.7115384615384616,1
C-000192,Atom,src/tree-sitter-language-mode.js,651,951,301,301,51,51,9,9,7,5.666666666666667,5.666666666666667,0,0.5625,1
C-000193,Atom,src/tree-sitter-language-mode.js,953,1094,142,142,28,28,8,8,2,3.5,3.5,0,0.8,0
C-000196,Atom,src/tree-sitter-language-mode.js,1352,1369,18,18,6,6,6,6,0,1.0,1.0,0,1.0,0
C-000197,Atom,src/tree-sitter-language-mode.js,1371,1388,18,18,6,6,6,6,0,1.0,1.0,0,1.0,0
C-000198,Atom,src/tree-sitter-language-mode.js,1390,1484,95,95,18,18,4,4,4,4.5,4.5,0,0.5,0
C-000199,Atom,src/workspace-element.js,10,467,458,458,64,64,35,35,0,1.8285714285714283,1.8285714285714283,0,1.0,0
C-000200,Chart.js,docs/scripts/derived-bubble.js,3,24,22,22,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000203,Chart.js,src/controllers/controller.bubble.js,4,169,166,166,31,31,9,9,3,3.4444444444444446,3.4444444444444446,0,0.75,0
C-000207,Chart.js,src/controllers/controller.polarArea.js,4,227,224,224,21,21,9,9,5,2.333333333333333,2.333333333333333,0,0.6428571428571429,0
C-000208,Chart.js,src/controllers/controller.radar.js,4,104,101,101,12,12,4,4,3,3.0,3.0,0,0.5714285714285714,0
C-000209,Chart.js,src/controllers/controller.scatter.js,6,179,174,174,37,37,5,5,3,7.4,7.4,0,0.625,0
