ID,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,IS_LONG_METHOD
M-012959,24,5,4,2,2,2,1,0.0,0
M-012973,4,1,0,0,0,0,1,0.0,0
M-013074,8,2,1,0,0,1,1,0.0,0
M-013103,6,2,2,1,1,3,1,0.0,0
M-013104,119,24,3,8,8,3,1,0.0,1
M-013189,9,2,1,0,0,2,1,0.0,0
M-013190,103,43,6,3,3,1,1,0.0,1
M-013205,128,42,2,2,2,2,1,0.0,1
M-013273,126,27,9,10,10,1,1,0.0,1
M-013346,303,45,5,4,4,8,4,3.5,1
M-013358,160,39,2,9,9,0,1,0.0,1
M-013365,117,18,6,2,2,1,1,0.0,1
M-013371,68,15,1,0,0,0,1,0.0,0
M-013401,111,22,6,2,2,2,1,0.0,1
M-013572,206,32,3,6,6,3,1,0.0,1
M-013576,113,37,3,11,11,0,1,0.0,1
M-013577,991,314,7,15,15,0,1,0.0,1
M-013599,305,54,4,12,12,2,3,3.0,1
M-013730,4,1,0,1,1,1,1,0.0,0
M-013749,23,4,2,1,1,0,1,0.0,0
M-013767,131,31,3,8,8,0,1,0.0,1
M-013881,16,2,1,1,1,2,1,0.0,0
M-013903,19,2,1,4,4,3,1,0.0,0
M-013988,6,1,0,0,0,2,1,0.0,0
M-014111,14,5,1,2,2,1,1,0.0,0
M-014122,8,2,2,1,1,0,1,0.0,0
M-014135,9,3,2,0,0,0,1,0.0,0
M-014164,9,1,0,0,0,0,1,0.0,0
M-014308,16,2,2,3,3,0,1,0.0,0
M-014432,346,26,7,1,1,1,1,0.0,1
M-014520,101,15,5,3,3,1,1,0.0,1
M-014524,136,21,7,3,3,3,3,3.0,1
M-014527,114,24,5,2,2,0,1,0.0,1
M-014577,104,14,7,7,7,3,1,0.0,1
M-014655,215,32,3,7,7,4,1,0.0,1
M-014756,17,2,0,6,6,1,1,0.0,0
M-014799,108,25,3,3,3,1,1,0.0,1
M-014899,15,3,3,3,3,2,1,0.0,0
M-014916,20,4,1,1,1,2,1,0.0,0
M-014918,109,24,4,23,23,4,1,0.0,1
M-014925,559,83,9,6,6,8,1,0.0,1
M-014946,47,10,2,0,0,1,1,0.0,1
M-014979,287,50,7,5,5,2,1,0.0,1
M-014982,106,31,3,0,0,2,1,0.0,1
M-015026,154,23,5,0,0,6,1,0.0,1
M-015032,32,4,0,3,3,2,1,0.0,0
M-015057,325,42,11,31,31,2,1,0.0,1
M-015083,209,28,3,26,26,1,1,0.0,1
M-015085,30,1,0,0,0,1,1,0.0,0
M-015091,132,20,5,12,12,3,1,0.0,1
M-015098,103,13,8,14,14,2,1,0.0,1
M-015161,91,17,4,8,8,1,1,0.0,1
M-015168,120,14,8,10,10,5,1,0.0,1
M-015172,188,18,5,18,18,1,3,3.0,1
M-015224,189,53,4,4,4,9,1,0.0,1
M-015239,72,5,2,0,0,1,1,0.0,1
M-015267,11,3,3,1,1,1,1,0.0,0
M-015268,233,31,6,6,6,1,1,0.0,1
M-015270,109,25,9,10,10,2,1,0.0,1
M-015271,286,61,6,18,18,1,1,0.0,1
M-015286,7,2,1,0,0,1,1,0.0,0
M-015444,11,1,0,0,0,2,1,0.0,0
M-015517,32,2,0,0,0,1,1,0.0,0
M-015538,16,2,1,4,4,0,1,0.0,0
M-015572,196,37,6,5,5,1,1,0.0,1
M-015598,4,2,0,0,0,1,1,0.0,0
M-015661,28,5,2,0,0,3,1,0.0,0
M-015701,28,7,0,1,1,0,1,0.0,0
M-015820,88,19,3,1,1,1,1,0.0,1
