ID,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,IS_GOD_CLASS
C-000230,125,125,30,30,11,11,5,2.727272727272727,2.727272727272727,0,0.6875,0
C-000231,46,46,10,10,4,4,2,2.5,2.5,0,0.6666666666666666,0
C-000233,153,153,31,31,9,9,6,3.4444444444444446,3.4444444444444446,0,0.6,0
C-000235,477,477,86,86,22,22,8,3.909090909090909,3.909090909090909,0,0.7333333333333333,0
C-000236,142,142,22,22,7,7,5,3.142857142857143,3.142857142857143,0,0.5833333333333334,0
C-000241,72,63,15,13,7,5,7,2.142857142857143,2.6,2,0.3571428571428571,0
C-000244,96,93,25,24,8,7,3,3.125,3.4285714285714284,1,0.6363636363636364,0
C-000245,55,55,9,9,5,5,11,1.8,1.8,0,0.3125,0
C-000246,137,137,14,14,6,6,1,2.333333333333333,2.333333333333333,0,0.8571428571428571,0
C-000248,237,237,44,44,10,10,8,4.4,4.4,0,0.5555555555555556,1
C-000251,524,515,128,121,22,19,7,5.818181818181818,6.368421052631579,3,0.6551724137931034,1
C-000253,328,313,83,77,21,16,10,3.952380952380953,4.8125,5,0.5161290322580645,1
C-000255,302,302,52,52,10,10,4,5.2,5.2,0,0.7142857142857143,1
C-000257,419,398,56,48,20,13,12,2.8,3.692307692307693,7,0.40625,1
C-000259,114,111,11,9,6,5,9,1.8333333333333333,1.8,1,0.3333333333333333,0
C-000260,258,236,42,36,14,12,6,3.0,3.0,2,0.6,1
C-000262,68,65,17,16,4,3,0,4.25,5.333333333333333,1,0.75,0
C-000263,1337,1093,281,209,66,36,25,4.257575757575758,5.805555555555555,30,0.3736263736263736,1
C-000266,632,626,93,91,17,15,34,5.470588235294118,6.066666666666666,2,0.2941176470588235,1
C-000268,12,12,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000269,51,51,5,5,4,4,4,1.25,1.25,0,0.5,0
C-000270,9,9,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000271,299,296,20,19,14,13,10,1.4285714285714286,1.4615384615384617,1,0.5416666666666666,1
C-000273,248,248,18,18,9,9,6,2.0,2.0,0,0.6,0
C-000275,10,10,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000276,22,22,4,4,4,4,0,1.0,1.0,0,1.0,0
C-000279,31,31,5,5,5,5,2,1.0,1.0,0,0.7142857142857143,0
C-000280,23,23,4,4,4,4,1,1.0,1.0,0,0.8,0
C-000282,125,125,15,15,7,7,6,2.142857142857143,2.142857142857143,0,0.5384615384615384,0
C-000283,13,13,1,1,1,1,1,1.0,1.0,0,0.5,0
C-000284,43,43,7,7,4,4,6,1.75,1.75,0,0.4,0
C-000285,293,293,22,22,11,11,0,2.0,2.0,0,1.0,1
C-000286,285,285,11,11,5,5,10,2.2,2.2,0,0.3333333333333333,0
C-000288,294,294,5,5,3,3,2,1.6666666666666667,1.6666666666666667,0,0.6,1
C-000291,44,44,5,5,2,2,1,2.5,2.5,0,0.6666666666666666,0
C-000296,641,504,85,41,30,4,43,2.833333333333333,10.25,26,0.0547945205479452,1
C-000300,209,200,29,25,9,7,6,3.2222222222222223,3.571428571428572,2,0.4666666666666667,0
C-000302,616,616,62,62,6,6,2,10.333333333333334,10.333333333333334,0,0.75,1
C-000303,22,22,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000304,636,630,103,100,16,14,1,6.4375,7.142857142857143,2,0.8235294117647058,1
C-000308,620,617,28,27,14,13,12,2.0,2.076923076923077,1,0.5,1
C-000310,231,231,19,19,11,11,15,1.7272727272727273,1.7272727272727273,0,0.4230769230769231,0
C-000323,80,80,7,7,3,3,1,2.333333333333333,2.333333333333333,0,0.75,0
C-000337,1075,1060,173,166,38,36,23,4.552631578947368,4.611111111111111,2,0.5901639344262295,1
C-000341,70,70,8,8,3,3,0,2.6666666666666665,2.6666666666666665,0,1.0,0
C-000342,538,487,55,36,22,5,8,2.5,7.2,17,0.1666666666666666,1
C-000351,64,64,3,3,1,1,6,3.0,3.0,0,0.1428571428571428,0
C-000355,565,537,110,99,20,11,21,5.5,9.0,9,0.2682926829268293,1
C-000356,181,166,23,18,13,8,4,1.7692307692307692,2.25,5,0.4705882352941176,0
C-000361,1236,954,124,18,67,6,47,1.8507462686567164,3.0,61,0.0526315789473684,1
C-000363,94,94,8,8,4,4,1,2.0,2.0,0,0.8,0
C-000364,246,246,43,43,4,4,12,10.75,10.75,0,0.25,1
C-000366,103,103,3,3,3,3,2,1.0,1.0,0,0.6,0
C-000367,174,174,3,3,3,3,5,1.0,1.0,0,0.375,0
C-000373,469,427,34,23,18,10,11,1.8888888888888888,2.3,8,0.3103448275862069,1
C-000374,159,123,23,13,8,5,4,2.875,2.6,3,0.4166666666666667,0
C-000375,785,776,122,119,25,22,18,4.88,5.409090909090909,3,0.5116279069767442,1
C-000384,215,177,17,4,11,2,13,1.5454545454545454,2.0,9,0.0833333333333333,0
C-000385,20,14,3,1,3,1,0,1.0,1.0,2,0.3333333333333333,0
C-000388,31,28,3,2,3,2,0,1.0,1.0,1,0.6666666666666666,0
C-000393,116,116,9,9,2,2,7,4.5,4.5,0,0.2222222222222222,0
C-000394,266,193,30,10,15,4,17,2.0,2.5,11,0.125,0
C-000396,226,152,32,6,14,2,7,2.2857142857142856,3.0,12,0.0952380952380952,0
C-000401,19,16,3,2,3,2,0,1.0,1.0,1,0.6666666666666666,0
C-000403,770,555,117,37,43,3,27,2.7209302325581395,12.333333333333334,40,0.0428571428571428,1
C-000406,424,346,71,50,27,10,12,2.6296296296296298,5.0,17,0.2564102564102564,0
C-000407,19,19,5,5,2,2,3,2.5,2.5,0,0.4,0
C-000408,8,8,1,1,1,1,1,1.0,1.0,0,0.5,0
C-000414,1773,1423,281,178,115,49,50,2.4434782608695653,3.63265306122449,66,0.296969696969697,1
C-000421,624,624,36,36,15,15,0,2.4,2.4,0,1.0,1
C-000432,492,492,41,41,11,11,2,3.727272727272727,3.727272727272727,0,0.8461538461538461,1
C-000435,450,450,44,44,11,11,2,4.0,4.0,0,0.8461538461538461,1
C-000439,1297,1297,263,263,53,53,25,4.962264150943396,4.962264150943396,0,0.6794871794871795,1
C-000441,12,12,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000449,743,743,152,152,38,38,22,4.0,4.0,0,0.6333333333333333,1
C-000458,752,752,154,154,36,36,21,4.277777777777778,4.277777777777778,0,0.631578947368421,1
C-000460,160,160,22,22,4,4,0,5.5,5.5,0,1.0,0
C-000461,128,128,18,18,3,3,0,6.0,6.0,0,1.0,0
C-000462,147,147,18,18,3,3,0,6.0,6.0,0,1.0,0
C-000485,122,122,14,14,2,2,0,7.0,7.0,0,1.0,0
C-000487,230,230,31,31,3,3,0,10.333333333333334,10.333333333333334,0,1.0,0
C-000489,114,114,14,14,2,2,0,7.0,7.0,0,1.0,0
C-000492,123,123,14,14,2,2,0,7.0,7.0,0,1.0,0
C-000495,99,99,10,10,2,2,0,5.0,5.0,0,1.0,0
C-000505,237,237,31,31,3,3,0,10.333333333333334,10.333333333333334,0,1.0,1
C-000516,1145,1145,281,281,40,40,32,7.025,7.025,0,0.5555555555555556,1
C-000517,278,164,98,60,22,3,1,4.454545454545454,20.0,19,0.1304347826086956,0
C-000523,17,17,2,2,1,1,0,2.0,2.0,0,1.0,0
C-000531,227,141,32,13,12,6,8,2.6666666666666665,2.1666666666666665,6,0.3,1
C-000540,82,82,20,20,9,9,9,2.2222222222222223,2.2222222222222223,0,0.5,0
C-000541,42,42,10,10,3,3,2,3.333333333333333,3.333333333333333,0,0.6,0
C-000542,50,47,8,7,5,4,5,1.6,1.75,1,0.4,0
C-000544,20,20,2,2,2,2,0,1.0,1.0,0,1.0,0
C-000545,69,69,13,13,8,8,5,1.625,1.625,0,0.6153846153846154,0
C-000548,324,324,67,67,13,13,6,5.153846153846154,5.153846153846154,0,0.6842105263157895,1
C-000549,149,68,13,3,8,3,3,1.625,1.0,5,0.2727272727272727,0
C-000550,114,114,25,25,6,6,13,4.166666666666667,4.166666666666667,0,0.3157894736842105,0
C-000552,261,246,23,16,23,16,0,1.0,1.0,7,0.6956521739130435,0
C-000556,60,58,7,6,7,6,0,1.0,1.0,1,0.8571428571428571,0
C-000558,147,147,31,31,7,7,2,4.428571428571429,4.428571428571429,0,0.7777777777777778,0
C-000568,514,511,63,62,17,16,10,3.7058823529411766,3.875,1,0.5185185185185185,0
C-000570,574,574,28,28,14,14,0,2.0,2.0,0,1.0,1
C-000576,196,196,11,11,3,3,16,3.6666666666666665,3.6666666666666665,0,0.1578947368421052,0
C-000586,210,210,29,29,6,6,8,4.833333333333333,4.833333333333333,0,0.4285714285714285,0
C-000592,729,729,49,49,22,22,6,2.227272727272727,2.227272727272727,0,0.7857142857142857,1
C-000595,606,606,41,41,28,28,6,1.4642857142857142,1.4642857142857142,0,0.8235294117647058,0
C-000622,94,87,17,14,7,5,6,2.4285714285714284,2.8,2,0.3846153846153846,0
C-000636,50,32,10,4,7,1,6,1.4285714285714286,4.0,6,0.0769230769230769,0
C-000638,121,115,14,12,3,1,2,4.666666666666667,12.0,2,0.2,0
C-000650,49,49,7,7,4,4,1,1.75,1.75,0,0.8,0
C-000653,760,625,110,73,57,32,15,1.9298245614035088,2.28125,25,0.4444444444444444,1
C-000668,991,768,121,46,86,23,11,1.4069767441860466,2.0,63,0.2371134020618556,1
C-000671,355,355,50,50,17,17,6,2.9411764705882355,2.9411764705882355,0,0.7391304347826086,1
C-000676,12,12,5,5,1,1,0,5.0,5.0,0,1.0,0
C-000683,265,265,44,44,16,16,6,2.75,2.75,0,0.7272727272727273,1
C-000716,245,245,8,8,4,4,24,2.0,2.0,0,0.1428571428571428,0
C-000720,964,749,144,73,49,21,15,2.938775510204082,3.4761904761904763,28,0.328125,1
C-000734,16,16,1,1,1,1,9,1.0,1.0,0,0.1,0
C-000736,648,642,141,139,58,56,10,2.431034482758621,2.482142857142857,2,0.8235294117647058,1
C-000741,28,28,3,3,3,3,4,1.0,1.0,0,0.4285714285714285,0
C-000742,588,480,84,55,33,17,9,2.5454545454545454,3.235294117647059,16,0.4047619047619047,0
C-000744,678,523,106,53,40,20,20,2.65,2.65,20,0.3333333333333333,1
C-000745,160,146,21,17,9,6,5,2.333333333333333,2.833333333333333,3,0.4285714285714285,0
C-000746,943,683,180,90,57,21,28,3.1578947368421053,4.285714285714286,36,0.2470588235294117,1
C-000750,158,158,14,14,7,7,3,2.0,2.0,0,0.7,0
C-000763,36,36,4,4,2,2,3,2.0,2.0,0,0.4,0
C-000773,30,30,3,3,3,3,3,1.0,1.0,0,0.5,0
C-000783,110,110,9,9,6,6,4,1.5,1.5,0,0.6,0
C-000793,415,346,62,47,18,14,6,3.4444444444444446,3.357142857142857,4,0.5833333333333334,1
C-000804,1082,1082,156,156,29,29,14,5.379310344827586,5.379310344827586,0,0.6744186046511628,1
C-000844,236,236,40,40,17,17,11,2.3529411764705883,2.3529411764705883,0,0.6071428571428571,0
C-000847,18,18,1,1,1,1,5,1.0,1.0,0,0.1666666666666666,0
C-000851,49,49,5,5,4,4,1,1.25,1.25,0,0.8,0
C-000859,11,11,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000862,159,153,33,31,33,31,3,1.0,1.0,2,0.8611111111111112,0
C-000887,17,17,2,2,2,2,1,1.0,1.0,0,0.6666666666666666,0
C-000906,113,113,3,3,3,3,1,1.0,1.0,0,0.75,0
C-000911,86,86,8,8,3,3,1,2.6666666666666665,2.6666666666666665,0,0.75,0
C-000913,817,811,91,89,43,41,12,2.116279069767442,2.1707317073170733,2,0.7454545454545455,1
C-000918,277,277,28,28,6,6,4,4.666666666666667,4.666666666666667,0,0.6,1
C-000923,392,392,54,54,13,13,6,4.153846153846154,4.153846153846154,0,0.6842105263157895,1
C-000927,18,18,3,3,3,3,0,1.0,1.0,0,1.0,0
C-000964,29,29,5,5,1,1,1,5.0,5.0,0,0.5,0
C-000965,17,17,3,3,3,3,1,1.0,1.0,0,0.75,0
C-000972,246,234,28,24,16,14,12,1.75,1.7142857142857142,2,0.5,0
C-000978,363,363,56,56,13,13,12,4.307692307692308,4.307692307692308,0,0.52,1
C-000980,408,408,74,74,23,23,22,3.217391304347826,3.217391304347826,0,0.5111111111111111,1
C-000988,568,473,69,37,40,17,19,1.725,2.176470588235294,23,0.288135593220339,0
C-000992,352,337,80,76,17,13,7,4.705882352941177,5.846153846153846,4,0.5416666666666666,1
C-000994,15,9,3,1,3,1,2,1.0,1.0,2,0.2,0
C-000997,802,591,116,58,46,20,34,2.5217391304347827,2.9,26,0.25,1
C-000999,8,8,1,1,1,1,4,1.0,1.0,0,0.2,0
C-001010,1067,1067,149,149,20,20,48,7.45,7.45,0,0.2941176470588235,1
C-001012,1249,1249,190,190,38,38,58,5.0,5.0,0,0.3958333333333333,1
C-001019,770,571,89,28,45,10,45,1.9777777777777776,2.8,35,0.1111111111111111,1
C-001030,490,490,89,89,7,7,2,12.714285714285714,12.714285714285714,0,0.7777777777777778,1
C-001033,83,83,6,6,5,5,3,1.2,1.2,0,0.625,0
C-001036,173,167,22,20,11,9,5,2.0,2.2222222222222223,2,0.5625,0
C-001039,16,16,1,1,1,1,3,1.0,1.0,0,0.25,0
C-001044,34,34,1,1,1,1,4,1.0,1.0,0,0.2,0
C-001048,34,34,1,1,1,1,2,1.0,1.0,0,0.3333333333333333,0
C-001059,241,241,33,33,11,11,6,3.0,3.0,0,0.6470588235294118,1
C-001060,611,611,79,79,21,21,11,3.761904761904762,3.761904761904762,0,0.65625,1
C-001062,405,405,65,65,11,11,11,5.909090909090909,5.909090909090909,0,0.5,1
C-001066,95,95,10,10,5,5,4,2.0,2.0,0,0.5555555555555556,0
C-001068,47,47,3,3,3,3,2,1.0,1.0,0,0.6,0
C-001069,30,30,1,1,1,1,3,1.0,1.0,0,0.25,0
C-001078,14,14,1,1,1,1,1,1.0,1.0,0,0.5,0
C-001079,21,21,1,1,1,1,2,1.0,1.0,0,0.3333333333333333,0
C-001082,20,20,1,1,1,1,2,1.0,1.0,0,0.3333333333333333,0
C-001083,25,25,1,1,1,1,2,1.0,1.0,0,0.3333333333333333,0
C-001087,9,9,1,1,1,1,0,1.0,1.0,0,1.0,0
C-001089,20,20,1,1,1,1,2,1.0,1.0,0,0.3333333333333333,0
C-001094,15,15,1,1,1,1,1,1.0,1.0,0,0.5,0
C-001096,10,10,1,1,1,1,0,1.0,1.0,0,1.0,0
C-001098,13,13,1,1,1,1,1,1.0,1.0,0,0.5,0
C-001100,11,11,1,1,1,1,0,1.0,1.0,0,1.0,0
